Uniprot ID	Uniprot gene ID	Gene name	Description	Color in plot	log2FC	Adjusted P value
P30520	PURA2_HUMAN	ADSS2	Adenylosuccinate synthetase isozyme 2 	blue	-0.3629946326054636	0.022183116723686926
B7ZBQ3	B7ZBQ3_HUMAN	MED20	Mediator of RNA polymerase II transcription subunit 20 	blue	-0.5062399849402812	0.0457386945091021
Q9BYC9	RM20_HUMAN	MRPL20	39S ribosomal protein L20, mitochondrial 	blue	-0.4965154325256904	0.003014651686393187
Q9Y6D5	BIG2_HUMAN	ARFGEF2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 	orange	0.18381108392914491	0.04650361433438248
O95218	ZRAB2_HUMAN	ZRANB2	Zinc finger Ran-binding domain-containing protein 2 	blue	-0.5543781355891841	0.04314904709117386
P01889	HLAB_HUMAN	HLA-B	HLA class I histocompatibility antigen, B alpha chain 	blue	-0.3684270827041196	0.009675771902027818
Q9P0M9	RM27_HUMAN	MRPL27	39S ribosomal protein L27, mitochondrial 	blue	-1.9952940202814133	0.0029448722149022282
K7ESC7	K7ESC7_HUMAN	ACOX1	Peroxisomal acyl-coenzyme A oxidase 1 (Fragment) 	red	0.8939699150061315	0.017346647269788514
M0R228	M0R228_HUMAN	KXD1	KxDL motif-containing protein 1 (Fragment) 	blue	-0.4061248556524859	0.004499102859100035
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase 	blue	-0.7929436810536785	0.017142392356947603
E7ETK0	E7ETK0_HUMAN	RPS24	40S ribosomal protein S24 	green	-0.16128376587914062	0.015642508795147246
P30876	RPB2_HUMAN	POLR2B	DNA-directed RNA polymerase II subunit RPB2 	red	0.4235964869255593	0.043352550701264536
Q96QK1	VPS35_HUMAN	VPS35	Vacuolar protein sorting-associated protein 35 	blue	-0.3020766003552211	0.001445086915792555
Q9UBQ5	EIF3K_HUMAN	EIF3K	Eukaryotic translation initiation factor 3 subunit K 	blue	-0.4384179968333761	0.010458355851606895
A0A6Q8PG30	A0A6Q8PG30_HUMAN	CLCC1	Chloride channel CLIC-like protein 1 	blue	-0.5527315373324839	0.03394590081120034
A0A0J9YX77	A0A0J9YX77_HUMAN	MGAM	Maltase-glucoamylase, intestinal (Fragment) 	blue	-0.3836180208116815	0.027216117464172938
P62333	PRS10_HUMAN	PSMC6	26S proteasome regulatory subunit 10B 	blue	-0.48369911203039706	0.0005852846580891504
O43741	AAKB2_HUMAN	PRKAB2	5'-AMP-activated protein kinase subunit beta-2 	blue	-0.703562001520103	0.0083245966631428
A0A2R8YDQ9	A0A2R8YDQ9_HUMAN	SUCLA2	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial 	blue	-0.27329393398134094	0.0009438421533838364
Q9NZ43	USE1_HUMAN	USE1	Vesicle transport protein USE1 	blue	-0.6398364882062815	0.004807924410915002
P62330	ARF6_HUMAN	ARF6	ADP-ribosylation factor 6 	blue	-0.3801866135485277	7.264674358980671e-05
Q8N5N7	RM50_HUMAN	MRPL50	39S ribosomal protein L50, mitochondrial 	blue	-0.5502041880330868	0.005958687174991167
Q8N1G2	CMTR1_HUMAN	CMTR1	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 	red	0.5519930919196714	0.0159254562975669
A0A3B3ISI6	A0A3B3ISI6_HUMAN	LEPROT	Leptin receptor gene-related protein 	red	0.30986914495866813	0.015064531046089971
P21359	NF1_HUMAN	NF1	Neurofibromin 	red	0.21313499162947735	0.02908736890352699
Q712K3	UB2R2_HUMAN	UBE2R2	Ubiquitin-conjugating enzyme E2 R2 	blue	-0.4401258736625735	0.002838638165274619
P15954	COX7C_HUMAN	COX7C	Cytochrome c oxidase subunit 7C, mitochondrial 	blue	-1.1735349452199806	0.0003387219906725805
P52907	CAZA1_HUMAN	CAPZA1	F-actin-capping protein subunit alpha-1 	blue	-0.3285763854647783	0.007175116285620506
O75915	PRAF3_HUMAN	ARL6IP5	PRA1 family protein 3 	blue	-1.4722167218731244	0.03979638439963754
A0A087X2D5	A0A087X2D5_HUMAN	MRPL45	39S ribosomal protein L45, mitochondrial 	blue	-1.3319807176911418	0.01042450081924895
Q5T4U8	Q5T4U8_HUMAN	RABGGTB	Geranylgeranyl transferase type-2 subunit beta 	blue	-0.784838622536359	0.0369646934712972
B8ZZD4	B8ZZD4_HUMAN	TAX1BP1	Tax1-binding protein 1 	red	0.6531485231769718	0.00031536174514591687
P10599	THIO_HUMAN	TXN	Thioredoxin 	blue	-0.8113093380153238	5.0776854747523306e-05
A0A7I2V322	A0A7I2V322_HUMAN	TBK1	Serine/threonine-protein kinase TBK1 (Fragment) 	red	1.0035496232410264	0.04303922903716224
Q8IXK0	PHC2_HUMAN	PHC2	Polyhomeotic-like protein 2 	blue	-0.3641911120145327	0.002958635196562144
Q9NTI5	PDS5B_HUMAN	PDS5B	Sister chromatid cohesion protein PDS5 homolog B 	red	0.2920742004327419	0.03299885648761792
P03897	NU3M_HUMAN	MT-ND3	NADH-ubiquinone oxidoreductase chain 3 	blue	-1.5642564581521157	0.011364753007978767
P14868	SYDC_HUMAN	DARS1	Aspartate--tRNA ligase, cytoplasmic 	blue	-0.3081676643223332	0.016871486262511625
Q15717	ELAV1_HUMAN	ELAVL1	ELAV-like protein 1 	blue	-0.31055476875572197	0.014536591322160251
P52298	NCBP2_HUMAN	NCBP2	Nuclear cap-binding protein subunit 2 	blue	-0.5938749793515825	0.0266734761724244
P29728	OAS2_HUMAN	OAS2	2'-5'-oligoadenylate synthase 2 	red	0.2965716703218586	0.00386344359623469
Q99570	PI3R4_HUMAN	PIK3R4	Phosphoinositide 3-kinase regulatory subunit 4 	blue	-0.30722614466970555	0.027800478267115607
P30419	NMT1_HUMAN	NMT1	Glycylpeptide N-tetradecanoyltransferase 1 	blue	-0.383324157189465	0.030289034129638667
Q13571	LAPM5_HUMAN	LAPTM5	Lysosomal-associated transmembrane protein 5 	blue	-1.4708050623603643	0.026164665098369084
Q969M7	UBE2F_HUMAN	UBE2F	NEDD8-conjugating enzyme UBE2F 	blue	-0.572902908762245	0.00914141750990609
P15884	ITF2_HUMAN	TCF4	Transcription factor 4 	blue	-0.44325926270906635	0.020205055929702384
H0YNG3	H0YNG3_HUMAN	SEC11A	Signal peptidase complex catalytic subunit SEC11 	blue	-0.8407335843999508	0.0008584100357118978
Q8NHZ8	CDC26_HUMAN	CDC26	Anaphase-promoting complex subunit CDC26 	blue	-0.4533254722024207	0.028478566884201754
P33121	ACSL1_HUMAN	ACSL1	Long-chain-fatty-acid--CoA ligase 1 	red	1.119030181678756	0.02314042389146759
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54 	blue	-0.4829423831106041	0.0013018785387985277
E9PS76	E9PS76_HUMAN	EIF1AD	Eukaryotic translation initiation factor 1A domain-containing protein (Fragment) 	green	-0.18838778942279077	0.0353471000223718
P08240	SRPRA_HUMAN	SRPRA	Signal recognition particle receptor subunit alpha 	blue	-0.36604147663504705	0.001062245581363246
Q92692	NECT2_HUMAN	NECTIN2	Nectin-2 	blue	-0.33942594504307877	0.00152256131849209
Q5JNZ5	RS26L_HUMAN	RPS26P11	Putative 40S ribosomal protein S26-like 1 	red	3.1184767601537597	1.4636682576107435e-05
O75521	ECI2_HUMAN	ECI2	Enoyl-CoA delta isomerase 2 	blue	-0.42843771441932077	0.03886041634381811
F6UJY1	F6UJY1_HUMAN	HYI	Putative hydroxypyruvate isomerase 	blue	-1.0691844437723592	0.02350782236217517
A0A7P0T8Q8	A0A7P0T8Q8_HUMAN	ALG8	Alpha-1,3-glucosyltransferase 	red	3.0559886442860087	0.006287743226320766
U3KQK0	U3KQK0_HUMAN	H2BC15	Histone H2B 	blue	-0.413235578197348	0.007591318583628673
A0A087X1C1	A0A087X1C1_HUMAN	TMSB15B	Thymosin beta-15B 	blue	-0.46553156034661214	0.03186147935354318
P54652	HSP72_HUMAN	HSPA2	Heat shock-related 70 kDa protein 2 	red	0.4684866986047851	0.0071137215715223485
Q13263	TIF1B_HUMAN	TRIM28	Transcription intermediary factor 1-beta 	blue	-0.33222883068170184	0.0008965086930782148
Q14258	TRI25_HUMAN	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25 	blue	-0.443257799729615	0.0006289312449154463
A0A5F9ZHP1	A0A5F9ZHP1_HUMAN	ASCC1	Activating signal cointegrator 1 complex subunit 1 	blue	-0.5326520627701576	0.025392038318840685
Q8WXX5	DNJC9_HUMAN	DNAJC9	DnaJ homolog subfamily C member 9 	blue	-0.4075488120718074	0.005441299322554902
P11908	PRPS2_HUMAN	PRPS2	Ribose-phosphate pyrophosphokinase 2 	blue	-0.2825132245974675	0.03928743773216269
K7ES25	K7ES25_HUMAN	PEPD	Xaa-Pro dipeptidase (Fragment) 	blue	-0.4477152690658137	0.0003440446354635559
J3QQT2	J3QQT2_HUMAN	RPL17	60S ribosomal protein L17 (Fragment) 	blue	-0.23320191143944058	0.001947800970382366
Q6Y1H2	HACD2_HUMAN	HACD2	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2 	blue	-1.1114184431414742	0.010262889140542783
H0Y6D8	H0Y6D8_HUMAN	TBP	TATA-box-binding protein (Fragment) 	blue	-0.35362231407504296	0.010262448637789067
P26022	PTX3_HUMAN	PTX3	Pentraxin-related protein PTX3 	blue	-0.8675092551760937	0.0030427226012817794
Q5UCC4	EMC10_HUMAN	EMC10	ER membrane protein complex subunit 10 	blue	-0.5915082865774952	0.0017793685306613967
