Term	Priority	Adjusted P	Odds ratio	N overlap	Overlap genes
VEGFA VEGFR2 Signaling WP3888	27.60089198536086	5.573142174368678e-28	4.362817878978859	112	ACOT9, DKK1, RPL27, ARPC5L, EWSR1, PRKAA1, FAM120A, PSMD4, AP2S1, PRKCD, MOV10, BIN1, RPL7, PRDX6, GJA1, ANXA1, JUN, SSR3, FN1, GLUD1, MMP14, ARF4, FLII, CLTC, SHB, CSRP1, SH3BGRL3, TAOK2, ENG, ARF6, RPLP2, EEA1, PTGS2, TMSB4X, ELOA, ELOC, RACK1, PTPN1, RPS6, TPM3, ADAM9, ROCK1, ROCK2, ARMCX1, TUBB8, CFL1, NCL, EIF4G1, LRRC59, RAB4A, GPX1, CDC42BPB, SARS1, ALB, ACP1, EIF4E, MYO1C, P4HB, CRK, SLC25A11, GAPDH, ITGB1, SRC, HDAC1, FHL2, ITGB3, RPL10A, CSK, FYN, ITGAV, VPS39, EPHA2, PFN1, ATP6V0D1, BSG, KDR, UBAP2L, CCN2, EPRS1, DHX29, TXN, DECR1, RHOA, RHOC, COPG1, ALDOA, ACACA, RAP1A, RAP1B, EPS15, FADD, AP2A1, DPM1, NAPA, NDRG1, PAK2, CCND1, ABCF2, VCL, PXN, ACTG1, CAV1, AFDN, AKT1S1, GRSF1, CXCL8, PSMD11, GSK3B, YWHAE, HSPB1, RBM39, USP10
Cellular Proteostasis WP4918	15.84844439479282	0.012590561397905637	15.734146341463415	4	VBP1, PFDN1, PFDN2, PFDN6
Fluoroacetic Acid Toxicity WP4966	15.84844439479282	0.012590561397905637	15.734146341463415	4	ACO2, ACSS2, ALDH9A1, CS
Cytoplasmic Ribosomal Proteins WP477	12.691822042316758	1.713689311662587e-11	6.721170171085281	32	RPS8, RPL24, RPS6, RPL37A, RPL27, RPL13, RPL12, RPL36A, RPL15, RPL14, RPS5, RPL17, RPS3, RPS15A, RPS27A, RPL35A, RPS28, RPL27A, RPS21, RPS23, UBA52, RPLP0, RPLP2, RPL10A, RPL9, RPL7, RPL8, RPS18, RPS6KA3, RPL38, RPS12, RPL7A
Electron Transport Chain OXPHOS System In Mitochondria WP111	12.280796240038631	1.713689311662587e-11	5.90844632743634	35	SDHC, UQCRQ, UQCR10, UQCR11, ATP5IF1, NDUFV2, UQCRB, COX7A2, UQCRH, NDUFS6, NDUFS4, NDUFS3, NDUFS2, NDUFS1, ATP5ME, COX7C, NDUFB9, NDUFB8, NDUFB4, NDUFB3, COX4I1, ATP5MG, NDUFA8, NDUFA5, ATP5PB, NDUFA4, NDUFA3, NDUFAB1, SLC25A5, COX5A, NDUFA13, NDUFA11, COX5B, ATP5F1B, ATP5F1C
Proteasome Degradation WP183	10.25872741327237	2.316810086531345e-08	6.851758173966687	23	UBE2B, PSMC6, PSMC4, PSMC1, PSMD11, PSMD13, PSMD12, RPN2, PSMB10, PSMD9, PSMD3, PSMD4, PSMD2, HLA-C, HLA-A, HLA-B, PSMA6, PSMA7, PSMA5, PSMA3, PSMB5, PSMB4, PSMB1
Arsenic Metabolism And Reactive Oxygen Species Generation WP5233	10.026188863149914	0.011699340212374721	9.838316046369737	5	CAT, GSTO1, VDAC1, ATP1A1, SOD1
Hijack Of Ubiquitination By SARS CoV 2 WP4860	9.575734188306011	0.024578803083406715	9.439512195121953	4	CBFB, CUL2, UBA3, ELOC
Nonalcoholic Fatty Liver Disease WP4396	8.569301523906558	2.316810086531345e-08	3.890762205830699	38	VCAM1, PRKAB2, SDHC, UQCRQ, UQCR10, UQCR11, PRKAA1, AKT3, NDUFV2, EIF2S1, UQCRB, COX7A2, UQCRH, JUN, PIK3CB, NDUFS6, NDUFS4, NDUFS3, NDUFS2, NDUFS1, CXCL8, COX7C, GSK3B, NDUFB9, NDUFB8, NDUFB4, NDUFB3, CASP3, COX4I1, NDUFA8, NDUFA5, NDUFA4, NDUFA3, NDUFAB1, COX5A, NDUFA13, NDUFA11, COX5B
Oxidative Phosphorylation WP623	8.154533589395994	1.8606422145205653e-06	5.801694100684848	20	NDUFS6, NDUFS4, NDUFS3, NDUFS2, NDUFS1, ATP5ME, NDUFB9, NDUFB8, NDUFB4, NDUFV2, ATP5MG, NDUFA8, ATP6AP1, NDUFA5, ATP5PB, NDUFA4, NDUFA3, NDUFAB1, NDUFA11, ATP5F1B
