ensembl	uniprot	protein_name
ENSG00000000003	O43657	TSN6_HUMAN
ENSG00000000419	O60762	DPM1_HUMAN
ENSG00000000419	O60762	Q5QPK2_HUMAN
ENSG00000000419	O60762	H0Y368_HUMAN
ENSG00000000419	Q5QPK2	DPM1_HUMAN
ENSG00000000419	Q5QPK2	Q5QPK2_HUMAN
ENSG00000000419	Q5QPK2	H0Y368_HUMAN
ENSG00000000419	H0Y368	DPM1_HUMAN
ENSG00000000419	H0Y368	Q5QPK2_HUMAN
ENSG00000000419	H0Y368	H0Y368_HUMAN
ENSG00000001084	P48506	GSH1_HUMAN
ENSG00000001497	Q9Y4W2	LAS1L_HUMAN
ENSG00000001630	Q16850	CP51A_HUMAN
ENSG00000002330	Q92934	BAD_HUMAN
ENSG00000002549	P28838	AMPL_HUMAN
ENSG00000002586	A0A096LP69	A0A096LP69_HUMAN
ENSG00000002586	A0A096LP69	CD99_HUMAN
ENSG00000002586	P14209	A0A096LP69_HUMAN
ENSG00000002586	P14209	CD99_HUMAN
ENSG00000002822	Q9Y6D9	MD1L1_HUMAN
ENSG00000002834	Q14847	LASP1_HUMAN
ENSG00000002834	Q14847	J3KSN1_HUMAN
ENSG00000002834	J3KSN1	LASP1_HUMAN
ENSG00000002834	J3KSN1	J3KSN1_HUMAN
ENSG00000003056	P20645	MPRD_HUMAN
ENSG00000003147	E7ENI6	E7ENI6_HUMAN
ENSG00000003393	A0A7P0Z4J9	A0A7P0Z4J9_HUMAN
ENSG00000003393	A0A7P0Z4J9	A0A7P0T8R1_HUMAN
ENSG00000003393	A0A7P0Z4J9	A0A7P0T9U5_HUMAN
ENSG00000003393	A0A7P0Z4J9	A0A7P0Z4F3_HUMAN
ENSG00000003393	A0A7P0Z4J9	A0A7P0T9R1_HUMAN
ENSG00000003393	A0A7P0Z4J9	A0A7P0T980_HUMAN
ENSG00000003393	A0A7P0Z4J9	A0A7P0Z4M6_HUMAN
ENSG00000003393	A0A7P0Z4J9	A0A7P0T9V4_HUMAN
ENSG00000003393	A0A7P0Z4J9	ALS2_HUMAN
ENSG00000003393	A0A7P0Z4J9	A0A7P0T8F3_HUMAN
ENSG00000003393	A0A7P0T8R1	A0A7P0Z4J9_HUMAN
ENSG00000003393	A0A7P0T8R1	A0A7P0T8R1_HUMAN
ENSG00000003393	A0A7P0T8R1	A0A7P0T9U5_HUMAN
ENSG00000003393	A0A7P0T8R1	A0A7P0Z4F3_HUMAN
ENSG00000003393	A0A7P0T8R1	A0A7P0T9R1_HUMAN
ENSG00000003393	A0A7P0T8R1	A0A7P0T980_HUMAN
ENSG00000003393	A0A7P0T8R1	A0A7P0Z4M6_HUMAN
ENSG00000003393	A0A7P0T8R1	A0A7P0T9V4_HUMAN
ENSG00000003393	A0A7P0T8R1	ALS2_HUMAN
ENSG00000003393	A0A7P0T8R1	A0A7P0T8F3_HUMAN
ENSG00000003393	A0A7P0T9U5	A0A7P0Z4J9_HUMAN
ENSG00000003393	A0A7P0T9U5	A0A7P0T8R1_HUMAN
ENSG00000003393	A0A7P0T9U5	A0A7P0T9U5_HUMAN
ENSG00000003393	A0A7P0T9U5	A0A7P0Z4F3_HUMAN
ENSG00000003393	A0A7P0T9U5	A0A7P0T9R1_HUMAN
ENSG00000003393	A0A7P0T9U5	A0A7P0T980_HUMAN
ENSG00000003393	A0A7P0T9U5	A0A7P0Z4M6_HUMAN
ENSG00000003393	A0A7P0T9U5	A0A7P0T9V4_HUMAN
ENSG00000003393	A0A7P0T9U5	ALS2_HUMAN
ENSG00000003393	A0A7P0T9U5	A0A7P0T8F3_HUMAN
ENSG00000003393	A0A7P0Z4F3	A0A7P0Z4J9_HUMAN
ENSG00000003393	A0A7P0Z4F3	A0A7P0T8R1_HUMAN
ENSG00000003393	A0A7P0Z4F3	A0A7P0T9U5_HUMAN
ENSG00000003393	A0A7P0Z4F3	A0A7P0Z4F3_HUMAN
ENSG00000003393	A0A7P0Z4F3	A0A7P0T9R1_HUMAN
ENSG00000003393	A0A7P0Z4F3	A0A7P0T980_HUMAN
ENSG00000003393	A0A7P0Z4F3	A0A7P0Z4M6_HUMAN
ENSG00000003393	A0A7P0Z4F3	A0A7P0T9V4_HUMAN
ENSG00000003393	A0A7P0Z4F3	ALS2_HUMAN
ENSG00000003393	A0A7P0Z4F3	A0A7P0T8F3_HUMAN
ENSG00000003393	A0A7P0T9R1	A0A7P0Z4J9_HUMAN
ENSG00000003393	A0A7P0T9R1	A0A7P0T8R1_HUMAN
ENSG00000003393	A0A7P0T9R1	A0A7P0T9U5_HUMAN
ENSG00000003393	A0A7P0T9R1	A0A7P0Z4F3_HUMAN
ENSG00000003393	A0A7P0T9R1	A0A7P0T9R1_HUMAN
ENSG00000003393	A0A7P0T9R1	A0A7P0T980_HUMAN
ENSG00000003393	A0A7P0T9R1	A0A7P0Z4M6_HUMAN
ENSG00000003393	A0A7P0T9R1	A0A7P0T9V4_HUMAN
ENSG00000003393	A0A7P0T9R1	ALS2_HUMAN
ENSG00000003393	A0A7P0T9R1	A0A7P0T8F3_HUMAN
ENSG00000003393	A0A7P0T980	A0A7P0Z4J9_HUMAN
ENSG00000003393	A0A7P0T980	A0A7P0T8R1_HUMAN
ENSG00000003393	A0A7P0T980	A0A7P0T9U5_HUMAN
ENSG00000003393	A0A7P0T980	A0A7P0Z4F3_HUMAN
ENSG00000003393	A0A7P0T980	A0A7P0T9R1_HUMAN
ENSG00000003393	A0A7P0T980	A0A7P0T980_HUMAN
ENSG00000003393	A0A7P0T980	A0A7P0Z4M6_HUMAN
ENSG00000003393	A0A7P0T980	A0A7P0T9V4_HUMAN
ENSG00000003393	A0A7P0T980	ALS2_HUMAN
ENSG00000003393	A0A7P0T980	A0A7P0T8F3_HUMAN
ENSG00000003393	A0A7P0Z4M6	A0A7P0Z4J9_HUMAN
ENSG00000003393	A0A7P0Z4M6	A0A7P0T8R1_HUMAN
ENSG00000003393	A0A7P0Z4M6	A0A7P0T9U5_HUMAN
ENSG00000003393	A0A7P0Z4M6	A0A7P0Z4F3_HUMAN
