	0
0	P32856|STX2_HUMAN
1	H0Y6V6|H0Y6V6_HUMAN
2	P52907|CAZA1_HUMAN
3	P28482|MK01_HUMAN
4	M0R226|M0R226_HUMAN
5	Q06323|PSME1_HUMAN
6	O75962|TRIO_HUMAN
7	O15144|ARPC2_HUMAN
8	Q8N5I2|ARRD1_HUMAN
9	B0QYK0|B0QYK0_HUMAN
10	Q9Y3D3|RT16_HUMAN
11	Q86Y56|DAAF5_HUMAN
12	Q86X55|CARM1_HUMAN
13	Q92626|PXDN_HUMAN
14	A0A0G2JRA5|A0A0G2JRA5_HUMAN
15	Q4TT34|Q4TT34_HUMAN
16	P62891|RL39_HUMAN
17	A0A2R8Y6M7|A0A2R8Y6M7_HUMAN
18	Q9UKB1|FBW1B_HUMAN
19	O15235|RT12_HUMAN
20	Q70CQ2|UBP34_HUMAN
21	A0A140T9T7|A0A140T9T7_HUMAN
22	B4DDD6|B4DDD6_HUMAN
23	Q5VW52|Q5VW52_HUMAN
24	O75874|IDHC_HUMAN
25	Q96MF7|NSE2_HUMAN
26	Q6ZN40|Q6ZN40_HUMAN
27	Q9NQZ2|SAS10_HUMAN
28	Q9Y3F4|STRAP_HUMAN
29	B4DI26|B4DI26_HUMAN
30	A0A3F2YNY7|A0A3F2YNY7_HUMAN
31	B5MC53|B5MC53_HUMAN
32	Q00587|BORG5_HUMAN
33	Q5VW32|BROX_HUMAN
34	J3KND3|J3KND3_HUMAN
35	O75144|ICOSL_HUMAN
36	P49407|ARRB1_HUMAN
37	P62191|PRS4_HUMAN
38	P22897|MRC1_HUMAN
39	B8ZZN6|B8ZZN6_HUMAN
40	Q8NFC6|BD1L1_HUMAN
41	O95059|RPP14_HUMAN
42	A0A669KBH7|A0A669KBH7_HUMAN
43	Q96HE7|ERO1A_HUMAN
44	Q8IWB1|IPRI_HUMAN
45	Q9Y3E7|CHMP3_HUMAN
46	Q14240|IF4A2_HUMAN
47	O15066|KIF3B_HUMAN
48	P15151|PVR_HUMAN
49	K7EMM8|K7EMM8_HUMAN
50	H3BT57|H3BT57_HUMAN
51	H3BN98|H3BN98_HUMAN
52	P27797|CALR_HUMAN
53	O60763|USO1_HUMAN
54	Q9Y4B5|MTCL1_HUMAN
55	A0A0D9SEJ5|A0A0D9SEJ5_HUMAN
56	Q9H0W8|SMG9_HUMAN
57	Q71UI9|H2AV_HUMAN
58	Q9Y6B6|SAR1B_HUMAN
59	Q9Y3C4|TPRKB_HUMAN
