Quantify Compound Summary Report 

Printed Wed Oct 16 10:34:44 2024

Compound 1:  IS_LPC_17:0

	#	Name	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Sample Text
36	36	EC72_Lipidomics_000130	0.000	3.19	55.608		55.608	bb	POS_072-126_0 然_0
43	43	EC72_Lipidomics_000137	0.000	3.18	59.644		59.644	bb	POS_072-127_0 然_0
18	18	EC72_Lipidomics_000112	0.000	3.18	164.383		164.383	bb	POS_072-128_0 然_0
19	19	EC72_Lipidomics_000113	0.000	3.17	64.132		64.132	bb	POS_072-129_0然_4
15	15	EC72_Lipidomics_000109	0.000	3.19	65.564		65.564	bb	POS_072-130_0然_4
16	16	EC72_Lipidomics_000110	0.000	3.17	77.391		77.391	bb	POS_072-131_0然_4
26	26	EC72_Lipidomics_000120	0.000	3.19	89.971		89.971	bb	POS_072-132_5 然 epi_4
25	25	EC72_Lipidomics_000119	0.000	3.18	58.637		58.637	bb	POS_072-133_5 然 epi_4
28	28	EC72_Lipidomics_000122	0.000	3.17	84.302		84.302	bb	POS_072-134_5 然 epi_4
47	47	EC72_Lipidomics_000141	0.000	3.19	84.942		84.942	bb	POS_072-135_5 然 nor_4
14	14	EC72_Lipidomics_000108	0.000	3.18	60.668		60.668	bb	POS_072-136_5 然 nor_4
34	34	EC72_Lipidomics_000128	0.000	3.31	200.689		200.689	bb	POS_072-137_5 然 nor_4
6	6	EC72_Lipidomics_000100	0.000	3.18	86.621		86.621	bb	POS_072-138_5 然 epi:nor_4
29	29	EC72_Lipidomics_000123	0.000	3.18	67.600		67.600	bb	POS_072-139_5 然 epi:nor_4
39	39	EC72_Lipidomics_000133	0.000	3.19	96.205		96.205	bb	POS_072-140_5 然 epi:nor_4
46	46	EC72_Lipidomics_000140	0.000	3.19	98.132		98.132	bb	POS_072-141_TNFa_4
27	27	EC72_Lipidomics_000121	0.000	3.17	132.389		132.389	bb	POS_072-142_TNFa_4
38	38	EC72_Lipidomics_000132	0.000	3.18	126.029		126.029	bb	POS_072-143_TNFa_4
17	17	EC72_Lipidomics_000111	0.000	3.18	100.726		100.726	bb	POS_072-144_0然_24
35	35	EC72_Lipidomics_000129	0.000	3.18	105.707		105.707	bb	POS_072-145_0然_24
7	7	EC72_Lipidomics_000101	0.000	3.17	88.010		88.010	bb	POS_072-146_0然_24
44	44	EC72_Lipidomics_000138	0.000	3.19	126.713		126.713	bb	POS_072-147_5 然 epi_24
23	23	EC72_Lipidomics_000117	0.000	3.19	90.562		90.562	bb	POS_072-148_5 然 epi_24
45	45	EC72_Lipidomics_000139	0.000	3.19	75.402		75.402	bb	POS_072-149_5 然 epi_24
5	5	EC72_Lipidomics_000099	0.000	3.17	55.495		55.495	bb	POS_072-150_5 然 nor_24
9	9	EC72_Lipidomics_000103	0.000	3.18	317.024		317.024	bb	POS_072-151_5 然 nor_24
33	33	EC72_Lipidomics_000127	0.000	3.17	425.594		425.594	bb	POS_072-152_5 然 nor_24
3	3	EC72_Lipidomics_000097	0.000	3.17	361.366		361.366	bb	POS_072-153_5 然 epi:nor_24
24	24	EC72_Lipidomics_000118	0.000	3.31	282.368		282.368	bb	POS_072-154_5 然 epi:nor_24
8	8	EC72_Lipidomics_000102	0.000	3.30	207.826		207.826	bb	POS_072-155_5 然 epi:nor_24
4	4	EC72_Lipidomics_000098	0.000	3.18	92.914		92.914	bb	POS_072-156_TNFa_24
13	13	EC72_Lipidomics_000107	0.000	3.17	110.493		110.493	bb	POS_072-157_TNFa_24
37	37	EC72_Lipidomics_000131	0.000	3.18	129.272		129.272	bb	POS_072-158_TNFa_24
1	1	EC72_Lipidomics_000095	0.000	3.19	79.178		79.178	bb	Pool
11	11	EC72_Lipidomics_000105	0.000	3.17	75.245		75.245	bb	Pool
21	21	EC72_Lipidomics_000115	0.000	3.19	86.165		86.165	bb	Pool
31	31	EC72_Lipidomics_000125	0.000	3.18	101.078		101.078	bb	Pool
41	41	EC72_Lipidomics_000135	0.000	3.19	99.806		99.806	bb	Pool
49	49	EC72_Lipidomics_000143	0.000	3.18	92.157		92.157	bb	Pool
2	2	EC72_Lipidomics_000096	0.000	3.23	0.968		0.968	bb	Solvent
10	10	EC72_Lipidomics_000104	0.000	3.61	2.758		2.758	bb	Solvent
12	12	EC72_Lipidomics_000106	0.000						Solvent
20	20	EC72_Lipidomics_000114	0.000						Solvent
22	22	EC72_Lipidomics_000116	0.000						Solvent
30	30	EC72_Lipidomics_000124	0.000						Solvent
32	32	EC72_Lipidomics_000126	0.000						Solvent
40	40	EC72_Lipidomics_000134	0.000						Solvent
42	42	EC72_Lipidomics_000136	0.000						Solvent
48	48	EC72_Lipidomics_000142	0.000						Solvent
50	50	EC72_Lipidomics_000144	0.000						Solvent

Compound 2:  IS_LPC_19:0

	#	Name	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Sample Text
36	36	EC72_Lipidomics_000130	0.000	3.93	1262.880		1262.880	bb	POS_072-126_0 然_0
43	43	EC72_Lipidomics_000137	0.000	3.93	1061.080		1061.080	bb	POS_072-127_0 然_0
18	18	EC72_Lipidomics_000112	0.000	3.93	2071.925		2071.925	bb	POS_072-128_0 然_0
19	19	EC72_Lipidomics_000113	0.000	3.91	830.813		830.813	bb	POS_072-129_0然_4
