From	To
Q01105	ENSG00000119335.18
P30520	ENSG00000035687.10
H3BSJ5	ENSG00000088682.14
Q92900	ENSG00000005007.14
B7ZBQ3	ENSG00000124641.16
A0A087WZN1	ENSG00000101365.21
A0A804HHW6	ENSG00000155906.20
Q9BYC9	ENSG00000242485.6
Q02410	ENSG00000107282.9
Q9Y6D5	ENSG00000124198.10
Q969Q5	ENSG00000169228.14
P50336	ENSG00000143224.18
Q96M32	ENSG00000140057.9
P46531	ENSG00000148400.13
P32856	ENSG00000111450.15
O75817	ENSG00000172336.5
O95218	ENSG00000132485.14
Q13185	ENSG00000122565.19
O14657	ENSG00000136816.16
P01889	ENSG00000234745.14
E9PIN5	ENSG00000175274.19
Q9P0M9	ENSG00000108826.16
K7ESC7	ENSG00000161533.12
E9PJN0	ENSG00000101473.17
P11166	ENSG00000117394.24
Q13630	ENSG00000104522.16
Q13630	ENSG00000278243.2
Q13542	ENSG00000148730.7
Q9BVI4	ENSG00000184967.7
Q9BVI4	ENSG00000288146.1
M0R228	ENSG00000105700.11
O00743	ENSG00000119414.12
O14735	ENSG00000103502.14
Q13137	ENSG00000136436.15
E7ETK0	ENSG00000138326.21
P51692	ENSG00000173757.11
P30876	ENSG00000047315.17
Q92747	ENSG00000241685.10
Q96QK1	ENSG00000069329.19
Q9UBQ5	ENSG00000178982.10
Q9UBQ5	ENSG00000282986.2
A0A6Q8PG30	ENSG00000121940.17
Q9NSE4	ENSG00000067704.10
Q8NFH5	ENSG00000163002.13
O95239	ENSG00000090889.12
A0A0J9YX77	ENSG00000282607.1
P62333	ENSG00000100519.12
E7EX60	ENSG00000099250.18
O43670	ENSG00000010244.19
Q8NDH3	ENSG00000215440.12
C9JNE2	ENSG00000124596.17
H0Y6V6	ENSG00000105983.23
Q9NYJ8	ENSG00000055208.20
A0A087WT99	ENSG00000182919.15
Q8IY33	ENSG00000164877.19
D6RB73	ENSG00000121073.15
C9JE12	ENSG00000164897.14
Q99766	ENSG00000125375.18
Q9UBT2	ENSG00000126261.13
K7EIK7	ENSG00000125746.18
O43741	ENSG00000131791.8
Q9GZV5	ENSG00000018408.15
V9GYM8	ENSG00000116584.22
P48637	ENSG00000100983.12
P51965	ENSG00000170142.12
B2WTI4	ENSG00000070495.15
A0A2R8YDQ9	ENSG00000136143.16
Q9NZ43	ENSG00000053501.14
Q9NW82	ENSG00000082068.9
Q9P2K8	ENSG00000128829.12
P62330	ENSG00000165527.8
Q8N5N7	ENSG00000136897.8
Q8N1G2	ENSG00000137200.13
P40337	ENSG00000134086.10
Q8WTV0	ENSG00000073060.17
A0A3B3ISI6	ENSG00000213625.9
Q15819	ENSG00000169139.12
Q9Y5F6	ENSG00000240764.4
A0A0A0MT33	ENSG00000213079.10
P21359	ENSG00000196712.20
Q712K3	ENSG00000107341.5
Q8TCU6	ENSG00000124126.14
H0YNA7	ENSG00000138600.11
A0A1B0GW37	ENSG00000147862.18
Q8NF37	ENSG00000153395.10
P15954	ENSG00000127184.13
A0A3B3IU33	ENSG00000162066.16
P52907	ENSG00000116489.13
F8VQW0	ENSG00000139644.13
Q03405	ENSG00000011422.12
C9J792	ENSG00000168066.22
O75915	ENSG00000144746.7
A0A087X2D5	ENSG00000278845.5
Q5T4U8	ENSG00000137955.16
B8ZZD4	ENSG00000106052.14
P10599	ENSG00000136810.13
Q9UHI6	ENSG00000064703.13
A0A7I2V322	ENSG00000183735.11
Q5SY38	ENSG00000143486.16
P00395	ENSG00000198804.2
Q9BPY8	ENSG00000171476.23
P50897	ENSG00000131238.18
Q8IXK0	ENSG00000134686.21
