From	To
SET_HUMAN	ENSG00000119335.18
PURA2_HUMAN	ENSG00000035687.10
H3BSJ5_HUMAN	ENSG00000088682.14
RENT1_HUMAN	ENSG00000005007.14
B7ZBQ3_HUMAN	ENSG00000124641.16
A0A087WZN1_HUMAN	ENSG00000101365.21
A0A804HHW6_HUMAN	ENSG00000155906.20
RM20_HUMAN	ENSG00000242485.6
APBA1_HUMAN	ENSG00000107282.9
BIG2_HUMAN	ENSG00000124198.10
RAB24_HUMAN	ENSG00000169228.14
PPOX_HUMAN	ENSG00000143224.18
KAD7_HUMAN	ENSG00000140057.9
NOTC1_HUMAN	ENSG00000148400.13
STX2_HUMAN	ENSG00000111450.15
POP7_HUMAN	ENSG00000172336.5
ZRAB2_HUMAN	ENSG00000132485.14
CBX3_HUMAN	ENSG00000122565.19
TOR1B_HUMAN	ENSG00000136816.16
HLAB_HUMAN	ENSG00000234745.14
E9PIN5_HUMAN	ENSG00000175274.19
RM27_HUMAN	ENSG00000108826.16
K7ESC7_HUMAN	ENSG00000161533.12
E9PJN0_HUMAN	ENSG00000101473.17
GTR1_HUMAN	ENSG00000117394.24
FCL_HUMAN	ENSG00000104522.16
FCL_HUMAN	ENSG00000278243.2
4EBP2_HUMAN	ENSG00000148730.7
NOC4L_HUMAN	ENSG00000184967.7
NOC4L_HUMAN	ENSG00000288146.1
M0R228_HUMAN	ENSG00000105700.11
PPP6_HUMAN	ENSG00000119414.12
CDIPT_HUMAN	ENSG00000103502.14
CACO2_HUMAN	ENSG00000136436.15
E7ETK0_HUMAN	ENSG00000138326.21
STA5B_HUMAN	ENSG00000173757.11
RPB2_HUMAN	ENSG00000047315.17
ARC1A_HUMAN	ENSG00000241685.10
VPS35_HUMAN	ENSG00000069329.19
EIF3K_HUMAN	ENSG00000178982.10
EIF3K_HUMAN	ENSG00000282986.2
A0A6Q8PG30_HUMAN	ENSG00000121940.17
SYIM_HUMAN	ENSG00000067704.10
NUP35_HUMAN	ENSG00000163002.13
KIF4A_HUMAN	ENSG00000090889.12
A0A0J9YX77_HUMAN	ENSG00000282607.1
PRS10_HUMAN	ENSG00000100519.12
E7EX60_HUMAN	ENSG00000099250.18
ZN207_HUMAN	ENSG00000010244.19
PEPL1_HUMAN	ENSG00000215440.12
C9JNE2_HUMAN	ENSG00000124596.17
H0Y6V6_HUMAN	ENSG00000105983.23
TAB2_HUMAN	ENSG00000055208.20
A0A087WT99_HUMAN	ENSG00000182919.15
MILK2_HUMAN	ENSG00000164877.19
D6RB73_HUMAN	ENSG00000121073.15
C9JE12_HUMAN	ENSG00000164897.14
ATP5S_HUMAN	ENSG00000125375.18
SAE2_HUMAN	ENSG00000126261.13
K7EIK7_HUMAN	ENSG00000125746.18
AAKB2_HUMAN	ENSG00000131791.8
WWTR1_HUMAN	ENSG00000018408.15
V9GYM8_HUMAN	ENSG00000116584.22
GSHB_HUMAN	ENSG00000100983.12
UB2E1_HUMAN	ENSG00000170142.12
B2WTI4_HUMAN	ENSG00000070495.15
A0A2R8YDQ9_HUMAN	ENSG00000136143.16
USE1_HUMAN	ENSG00000053501.14
WDR70_HUMAN	ENSG00000082068.9
E2AK4_HUMAN	ENSG00000128829.12
ARF6_HUMAN	ENSG00000165527.8
RM50_HUMAN	ENSG00000136897.8
CMTR1_HUMAN	ENSG00000137200.13
VHL_HUMAN	ENSG00000134086.10
SCRB1_HUMAN	ENSG00000073060.17
A0A3B3ISI6_HUMAN	ENSG00000213625.9
UB2V2_HUMAN	ENSG00000169139.12
PCDGM_HUMAN	ENSG00000240764.4
A0A0A0MT33_HUMAN	ENSG00000213079.10
NF1_HUMAN	ENSG00000196712.20
UB2R2_HUMAN	ENSG00000107341.5
PREX1_HUMAN	ENSG00000124126.14
H0YNA7_HUMAN	ENSG00000138600.11
A0A1B0GW37_HUMAN	ENSG00000147862.18
PCAT1_HUMAN	ENSG00000153395.10
COX7C_HUMAN	ENSG00000127184.13
A0A3B3IU33_HUMAN	ENSG00000162066.16
CAZA1_HUMAN	ENSG00000116489.13
F8VQW0_HUMAN	ENSG00000139644.13
UPAR_HUMAN	ENSG00000011422.12
C9J792_HUMAN	ENSG00000168066.22
PRAF3_HUMAN	ENSG00000144746.7
A0A087X2D5_HUMAN	ENSG00000278845.5
Q5T4U8_HUMAN	ENSG00000137955.16
B8ZZD4_HUMAN	ENSG00000106052.14
THIO_HUMAN	ENSG00000136810.13
DDX20_HUMAN	ENSG00000064703.13
A0A7I2V322_HUMAN	ENSG00000183735.11
Q5SY38_HUMAN	ENSG00000143486.16
COX1_HUMAN	ENSG00000198804.2
HOP_HUMAN	ENSG00000171476.23
PPT1_HUMAN	ENSG00000131238.18
PHC2_HUMAN	ENSG00000134686.21
A0A7I2V2R5_HUMAN	ENSG00000197635.11
PDS5B_HUMAN	ENSG00000083642.19
DPP4_HUMAN	ENSG00000197635.11
GLGB_HUMAN	ENSG00000114480.13
EIF3I_HUMAN	ENSG00000084623.12
RNBP6_HUMAN	ENSG00000137040.10
NU3M_HUMAN	ENSG00000198840.2
A0A805TBS0_HUMAN	ENSG00000107863.20
K7EPJ5_HUMAN	ENSG00000102858.13
A0A3B3IT47_HUMAN	ENSG00000047056.18
TXNIP_HUMAN	ENSG00000265972.6
